"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @broderick: OK, I finally saw Shang-Chi. https://t.co/ebCAcAH1w9",FALSE,0,NA,2021-11-21 07:24:14,FALSE,NA,"1462320936330399751",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JanusKaisar",22,TRUE,FALSE,NA,NA
"2","I'M SHANG-CHI, B*TCH! https://t.co/VjsbWEIUhu",FALSE,0,NA,2021-11-21 07:24:00,FALSE,NA,"1462320876318167045",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kittyjardenil",0,FALSE,FALSE,NA,NA
"3","@LengskiElizalde Shang-Chi fever https://t.co/ocDviPRPr6",FALSE,0,"LengskiElizalde",2021-11-21 07:23:17,FALSE,NA,"1462320698245140485","2761624387","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LesterAmbil",0,FALSE,FALSE,NA,NA
"4","RT @SimuLiu: Shang-Chi and the Legend of the Ten Rings on Disney+ Friday!

Check out this exclusive screenshot. If you look reaallllly clos…",FALSE,0,NA,2021-11-21 07:23:15,FALSE,NA,"1462320690699374610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ur1milkiway2",11893,TRUE,FALSE,NA,NA
"5","@Inelonwetrust__ @TacosandTeslas Also the actor portraying Shang-Chi’s dad, Tony Leung, is a famous Hong Kong actor… https://t.co/CMDThgHpyD",FALSE,0,"TeslaJoy",2021-11-21 07:22:51,TRUE,"1462319562708246531","1462320586919608320","1092885761328701440","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeslaJoy",0,FALSE,FALSE,NA,NA
"6","@nefiveli At all! And now it’s looking like she’s gonna be working side by side with Shang-Chi? No thanks.",FALSE,0,"nefiveli",2021-11-21 07:22:06,FALSE,"1462319972076728321","1462320399115509761","1273686988659425280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PYTSUPREMACIST",0,FALSE,FALSE,NA,NA
"7","RT @MCUPerfectGifs: Shang-Chi (2021) https://t.co/NyI1JoEW9x",FALSE,0,NA,2021-11-21 07:20:57,FALSE,NA,"1462320111763734529",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gindor8",166,TRUE,FALSE,NA,NA
"8","@SoyFedelobo Shang-chi esta muy buena, bueno al menos a mi me encanto 😍",FALSE,0,"SoyFedelobo",2021-11-21 07:20:42,FALSE,"1462224327013801986","1462320046013759490","243851501","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ginnavi1",0,FALSE,FALSE,NA,NA
"9","@halcyonfeature Shang-Chi was just... so freaking good! 🥰",FALSE,0,"halcyonfeature",2021-11-21 07:20:40,FALSE,"1462253053751537672","1462320038883561472","1279887828151873537","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RelentlessRyan",0,FALSE,FALSE,NA,NA
"10","RT @comfortfbrie: brie larson in shang-chi  https://t.co/iD8UAD75tO",FALSE,0,NA,2021-11-21 07:19:56,FALSE,NA,"1462319854879330305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GwensVariant",471,TRUE,FALSE,NA,NA
